NU_ANO_CENSO;CO_IES;NO_IES;SG_IES;CO_MANTENEDORA;NO_MANTENEDORA;TP_CATEGORIA_ADMINISTRATIVA;TP_ORGANIZACAO_ACADEMICA;CO_MUNICIPIO;IN_CAPITAL;lat;long
2019;73;CENTRO DE ENSINO SUPERIOR DE ARCOVERDE;CESA;57;AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE;7;3;2601201;0;-8,41168;-37,06882
2019;674;CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO;CESVASF;446;AUTARQUIA BELEMITA DE CULTURA DESPORTOS E EDUCACAO;7;3;2601607;0;-8,7673;-38,95462
2019;4702;CENTRO UNIVERSITÁRIO BRASILEIRO;UNIBRA;2996;IBGM - INSTITUTO BRASILEIRO DE GESTAO & MARKETING LTDA - EPP;4;2;2611606;1;-8,05208;-34,89179
2019;3515;CENTRO UNIVERSITÁRIO DA VITÓRIA DE SANTO ANTÃO;UNIVISA;369;ASSOCIACAO DO ENSINO SUPERIOR DA VITORIA DE STO ANTAO;5;2;2616407;0;-8,12298;-35,29726
2019;1805;CENTRO UNIVERSITÁRIO DOS GUARARAPES;UNIFG;1198;SOCEC- SOCIEDADE CAPIBARIBE DE EDUCACAO E CULTURA LTDA;4;2;2607901;0;-8,16181;-34,91635
2019;1077;Centro Universitário Estácio do Recife;;545;IREP SOCIEDADE DE ENSINO SUPERIOR, MEDIO E FUNDAMENTAL LTDA.;4;2;2611606;1;-8,05967;-34,9159
2019;1697;CENTRO UNIVERSITÁRIO FACOL;UNIFACOL;1119;ASSOCIACAO VITORIENSE DE EDUCACAO, CIENCIAS E CULTURA - AVEC;5;2;2616407;0;-8,11804;-35,29095
2019;1775;Centro Universitário Favip Wyden;UniFavip Wyden;1179;SOCIEDADE DE EDUCACAO DO VALE DO IPOJUCA LTDA;4;2;2604106;0;-8,29361;-35,95194
2019;1255;Centro Universitário FBV Wyden;UniFBV Wyden;1174;ADTALEM EDUCACIONAL DO BRASIL LTDA;4;2;2611606;1;-8,10624;-34,91511
2019;4118;Centro Universitário Joaquim Nabuco de Paulista;UNINABUCO PAULISTA;1847;SER EDUCACIONAL S.A.;4;2;2610707;0;-7,93887;-34,87991
2019;4153;Centro Universitário Joaquim Nabuco de Recife;UNINABUCO RECIFE;1847;SER EDUCACIONAL S.A.;4;2;2611606;1;-8,06323;-34,87981
2019;2835;CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;1847;SER EDUCACIONAL S.A.;4;2;2611606;1;-8,05691;-34,87882
2019;1676;CENTRO UNIVERSITÁRIO SÃO MIGUEL;UNISÃOMIGUEL;1101;SOCIEDADE CULTURAL E EDUCACIONAL SANTA RITA DE CASSIA LTDA - ME;4;2;2611606;1;-8,0547;-34,89534
2019;2409;CENTRO UNIVERSITÁRIO TABOSA DE ALMEIDA;ASCES-UNITA;131;ASSOCIACAO CARUARUENSE DE ENSINO SUPERIOR - ASCES;5;2;2604106;0;-8,26348;-35,96518
2019;1709;Centro Universitário Tiradentes de Pernambuco;UNIT PE;274;SOCIEDADE DE EDUCACAO TIRADENTES LTDA;4;2;2611606;1;-8,05895;-34,89158
2019;1296;ESCOLA SUPERIOR DE MARKETING;ESM;864;SOCIEDADE RECIFENSE DE ESTUDOS DE CIENCIAS HUMANAS;5;3;2611606;1;-8,05103;-34,87941
2019;4858;ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE;ESSA;57;AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE;7;3;2601201;0;-8,41155;-37,06872
2019;702;FACULDADE  DE CIÊNCIAS E TECNOLOGIA PROFESSOR DIRSON MACIEL DE BARROS;FADIMAB;467;AUTARQUIA MUNICIPAL DO ENSINO SUPERIOR DE GOIANA;7;3;2606200;0;-7,5603;-34,99526
2019;20570;Faculdade Alpha;Alpha;16449;ALPHA SISTEMAS EDUCACIONAIS E TREINAMENTOS - EIRELI;4;3;2611606;1;-8,05545;-34,88389
2019;3148;FACULDADE ANCHIETA DO RECIFE;FAR;2011;ORGANIZACAO DE ENSINO SUPERIOR ANCHIETA - OESA;4;3;2611606;1;-8,06265;-34,91333
2019;2723;FACULDADE CATÓLICA IMACULADA CONCEIÇÃO DO RECIFE;CATÓLICA;278;UNIAO BRASILEIRA DE EDUCACAO CATOLICA;5;3;2611606;1;-8,04071;-34,9401
2019;19327;Faculdade Cesar;FCE;16845;CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE;5;3;2611606;1;-8,05948;-34,87254
2019;19860;FACULDADE CONCEITO EDUCACIONAL;FACCON;16321;SESRIO - SOCIEDADE EDUCACIONAL RIO BRANCO LTDA - EPP;4;3;2601201;0;-8,41802;-37,05067
2019;1881;FACULDADE DA ESCADA;FAESC;1237;SOCIEDADE DE ENSINO SUPERIOR DA ESCADA LTDA - SOESE;4;3;2605202;0;-8,36115;-35,23901
2019;3631;FACULDADE DAMAS DA INSTRUÇÃO CRISTÃ;FADIC;2300;ASSOCIACAO DAS RELIGIOSAS DA INSTRUCAO CRISTA;5;3;2611606;1;-8,03899;-34,90241
2019;704;FACULDADE DE CIÊNCIAS AGRÁRIAS DE ARARIPINA;FACIAGRA;468;AUTARQUIA EDUCACIONAL DO ARARIPE;7;3;2601102;0;-7,60398;-40,49824
2019;686;FACULDADE DE CIÊNCIAS APLICADAS DE LIMOEIRO;FACAL;455;FACULDADE DE CIENCIAS DA ADMINISTRACAO DO LIMOEIRO;7;3;2608909;0;-7,87453;-35,44633
2019;692;FACULDADE DE CIÊNCIAS APLICADAS E SOCIAIS DE PETROLINA;FACAPE;460;AUTARQUIA EDUCACIONAL DO VALE DO SAO FRANCISCO;7;3;2611101;0;-9,39602;-40,47892
2019;1707;FACULDADE DE CIÊNCIAS CONTÁBEIS DE RECIFE;FACCOR;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2609600;0;-8,01918;-34,8505
2019;17775;Faculdade de Ciências da Saúde de Serra Talhada;FACISST;430;AUTARQUIA EDUCACIONAL DE SERRA TALHADA AESET;7;3;2613909;0;-7,99016;-38,29197
2019;17116;Faculdade de Ciências de Goiana;FCG;718;ASSOCIACAO DE ENSINO SUPERIOR SANTA TEREZINHA;5;3;2606200;0;-7,5626;-34,99993
2019;1021;FACULDADE DE CIÊNCIAS DE TIMBAÚBA;FACET;718;ASSOCIACAO DE ENSINO SUPERIOR SANTA TEREZINHA;5;3;2615300;0;-7,49596;-35,30192
2019;1143;Faculdade de Ciências de Timbaúba;FACET;718;ASSOCIACAO DE ENSINO SUPERIOR SANTA TEREZINHA;5;3;2615300;0;-7,49596;-35,30192
2019;144;FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA;FACHO;104;ASSOCIACAO INSTRUTORA MISSIONARIA;5;3;2609600;0;-7,98786;-34,85669
2019;760;FACULDADE DE CIÊNCIAS HUMANAS DE PERNAMBUCO;FCHPE;516;SOCIEDADE PERNAMBUCANA DE CULTURA E ENSINO LTDA - SOPECE;4;3;2611606;1;-8,04976;-34,89027
2019;753;FACULDADE DE CIÊNCIAS HUMANAS DO SERTÃO CENTRAL;FACHUSC;509;AUTARQUIA EDUCACIONAL DE SALGUEIRO;7;3;2612208;0;-8,06833;-39,11944
2019;3617;FACULDADE DE CIÊNCIAS HUMANAS E EXATAS DO SERTÃO DO SÃO FRANCISCO;FACESF;2293;SOCIEDADE AMIGOS DA INSTRUCAO DE JATINA - ME;4;3;2601607;0;-8,75606;-38,96726
2019;720;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS APLICADAS DO CABO DE SANTO AGOSTINHO;FACHUCA;483;AUTARQUIA EDUCACIONAL PARA O DESENV CULTURAL DO CABO;3;3;2602902;0;-8,27565;-35,02553
2019;1136;FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE IGARASSU;FACIG;783;ASSOCIACAO IGARASSUENSE DE EDUCACAO E CULTURA;5;3;2606804;0;-7,85553;-34,9095
2019;15410;Faculdade de Ciencias Humanas e Sociais de Serra Talhada;FACHUSST;430;AUTARQUIA EDUCACIONAL DE SERRA TALHADA AESET;7;3;2613909;0;-7,99009;-38,29179
2019;410;FACULDADE DE CIÊNCIAS HUMANAS ESUDA;FCHE;284;ASSOCIACAO RECIFENSE DE EDUCACAO E CULTURA;5;3;2611606;1;-8,0538;-34,88519
2019;22147;Faculdade de Ciências Jurídicas de Belo Jardim;;14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;4;3;2601706;0;-8,33164;-36,41835
2019;18471;Faculdade de Ciências Médicas Aggeu Magalhães;FAMA;16058;CENTRO DE ENSINO SUPERIOR DE SERRA TALHADA LIMITADA - EPP;4;3;2613909;0;-7,99127;-38,28843
2019;4356;FACULDADE DE CIÊNCIAS SOCIAIS DOS PALMARES;FACIP;56;AUTARQUIA EDUCACIONAL DA MATA SUL;7;3;2610004;0;-8,66512;-35,56848
2019;1328;FACULDADE DE COMUNICAÇÃO E TURISMO DE OLINDA;FACOTTUR;887;SOEC SOCIEDADE OLINDENSE DE EDUCACAO E CULTURA;5;3;2609600;0;-7,99932;-34,8397
2019;17715;FACULDADE DE EDUCAÇÃO SUPERIOR DE PERNAMBUCO;FACESP;15798;SOEVASF SOCIEDADE DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E SOCIAL DO VALE DO SAO FRANCISCO LTDA;4;3;2611101;0;-9,39062;-40,51079
2019;21583;FACULDADE DE EDUCAÇÃO SUPERIOR DE PERNAMBUCO;FAESPE;16637;IESPE- INSTITUTO DE EDUCACAO SUPERIOR DE PERNAMBUCO LTDA - ME;4;3;2611101;0;-9,39862;-40,50805
2019;159;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE CARUARU;FAFICA;115;ASSOCIACAO DIOCESANA DE ENSINO E CULTURA DE CARUARU;5;3;2604106;0;-8,29774;-35,97379
2019;72;FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL;FAMASUL;56;AUTARQUIA EDUCACIONAL DA MATA SUL;7;3;2610004;0;-8,66523;-35,5682
2019;703;FACULDADE DE FORMAÇÃO DE PROFESSORES DE ARARIPINA;FAFOPA;468;AUTARQUIA EDUCACIONAL DO ARARIPE;7;3;2601102;0;-7,57294;-40,51425
2019;657;FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA;FAFOPST;430;AUTARQUIA EDUCACIONAL DE SERRA TALHADA AESET;7;3;2613909;0;-7,9902;-38,29209
2019;21556;FACULDADE DE GOIANA;FAG;16620;CENTRO DE ENSINO SUPERIOR DE GOIANA LTDA  - ME;4;3;2606200;0;-7,5638;-35,00775
2019;1706;FACULDADE DE INFORMÁTICA DO RECIFE;FACIR;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2609600;0;-8,01918;-34,8505
2019;3881;FACULDADE DE INTEGRAÇÃO DO SERTÃO;FIS;2449;SOCIEDADE DE ENSINO SUPERIOR DE SERRA TALHADA - SESST - EPP;4;3;2613909;0;-7,98234;-38,27714
2019;16879;Faculdade de Medicina de Olinda;FMO;15559;BARROS MELO ENSINO SUPERIOR S.A.;4;3;2609600;0;-7,9953;-34,84103
2019;3146;FACULDADE DE ODONTOLOGIA DO RECIFE;FOR;2009;FUNDACAO ODONTOLOGICA PRESIDENTE CASTELLO BRANCO;5;3;2611606;1;-8,06452;-34,91312
2019;10613;FACULDADE DE SAÚDE DE PAULISTA;FASUP;3144;INSTITUTO OPTOMETRICO DE PERNAMBUCO;5;3;2610707;0;-7,92609;-34,82167
2019;20607;Faculdade de Tecnologia e Ciências - FTC Petrolina;FTC Petrolina;16093;ORGANIZACAO TECNOLOGICA DE ENSINO LTDA;4;3;2611101;0;-9,39672;-40,51325
2019;4064;FACULDADE DE TECNOLOGIA FAMA;FAMA;864;SOCIEDADE RECIFENSE DE ESTUDOS DE CIENCIAS HUMANAS;5;3;2611606;1;-8,06135;-34,92043
2019;1944;FACULDADE DE TECNOLOGIA IBRATEC;IBRATEC;3370;IBRATEC INSTITUTO BRASILEIRO DE TECNOLOGIA EIRELI;4;3;2611606;1;-8,08662;-34,90811
2019;14412;FACULDADE DE TECNOLOGIA SENAI PERNAMBUCO;;13506;SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL;5;3;2611606;1;-8,04753;-34,87785
2019;3376;FACULDADE DE TEOLOGIA INTEGRADA;FATIN;2132;ASSOCIACAO CULTURAL TEOLOGICA DO NORDESTE;5;3;2606804;0;-7,83993;-34,91207
2019;685;FACULDADE DO BELO JARDIM;FBJ;454;AUTARQUIA EDUCACIONAL DO MUNICIPIO DO BELO JARDIM AEB;7;3;2601706;0;-8,31925;-36,39555
2019;2242;FACULDADE DO RECIFE;FAREC;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2611606;1;-8,07982;-34,90797
2019;1012;FACULDADE DO SERTÃO DO PAJEÚ;FASP;709;AUTARQUIA EDUCACIONAL DE AFOGADOS DA INGAZEIRA-AEDAI;7;3;2600104;0;-7,75251;-37,63225
2019;21514;FACULDADE DO SERTÃO DO SÃO FRANCISCO;FASF;16604;HOSANETE DE SOUZA MEDEIROS - ME;4;3;2603009;0;-8,51275;-39,3109
2019;19674;Faculdade do Vale do São Francisco;FAVASF;16313;SOCIEDADE EDUCACIONAL CESAR VIEIRA DINIZ - PETROLINA LTDA;4;3;2611101;0;-9,39453;-40,50477
2019;14002;Faculdade dos Guararapes;FG;1198;SOCEC- SOCIEDADE CAPIBARIBE DE EDUCACAO E CULTURA LTDA;4;3;2611606;1;-8,05343;-34,89371
2019;21557;FACULDADE DOS PALMARES;FAP;16619;REDE FLORENCE DE ENSINO LTDA - ME;4;3;2610004;0;-8,69059;-35,60376
2019;16525;FACULDADE DUARTE COELHO;FDC;15463;SEDESPE - SOCIEDADE EDUCACIONAL DE DESENVOLVIMENTO REGIONAL DE PERNAMBUCO LTDA. - ME;4;3;2614501;0;-7,84693;-35,74176
2019;20666;Faculdade ELO;FAELO;16466;CENTRO EDUCACIONAL E DESPORTIVO ELO LTDA. - ME;4;3;2611606;1;-8,16449;-34,90496
2019;1894;FACULDADE EUROPÉIA DE ADMINISTRAÇÃO E MARKETING;FEPAM;1245;ENSIGEST - BRASIL LTDA - EPP;4;3;2607901;0;-8,15873;-34,91215
2019;160;FACULDADE FRASSINETTI DO RECIFE;FAFIRE;116;CONGREGACAO DE SANTA DOROTEIA DO BRASIL;5;3;2611606;1;-8,05853;-34,88924
2019;21982;Faculdade Integrada CETE;FIC;16771;ESCOLA DE APERFEICOAMENTO PROFISSIONAL LTDA - ME;4;3;2606002;0;-8,88079;-36,48715
2019;18267;FACULDADE INTEGRADA DE GESTÃO E MEIO AMBIENTE;FACIGMA;15967;CENTRO TECNOLOGICO DE DESENVOLVIMENTO LTDA - ME;4;3;2611606;1;-8,04705;-34,88876
2019;19716;Faculdade Integral de Jaboatão dos Guararapes;FIJ;16214;SOCIEDADE DE EDUCACAO E TECNOLOGIA VIEIRA DE JABOATAO LTDA;4;3;2607901;0;-8,16176;-34,91632
2019;1383;FACULDADE JOSÉ LACERDA FILHO DE CIÊNCIAS APLICADAS;FAJOLCA;916;ASSOCIACAO VALE IPOJUCA DE EDUCACAO, CIENCIA E CULTURA;5;3;2607208;0;-8,39936;-35,06042
2019;19838;Faculdade Lusitana de Pernambuco;FALUP;1154;ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA;5;3;2604007;0;-7,84283;-35,24596
2019;1749;FACULDADE LUSO-BRASILEIRA;FALUB;1154;ORGANIZACAO PERNAMBUCANA DE EDUCACAO CIENCIA E CULTURA;5;3;2604007;0;-7,84283;-35,24596
2019;22073;FACULDADE MACÊDO DE AMORIM;FAMAM;16812;AMORIM ENSINO TECNICO E SUPERIOR LTDA;4;3;2616407;0;-8,12293;-35,31137
2019;19369;Faculdade Martinho Lutero;FML;16215;SOCIEDADE DE EDUCACAO E TECNOLOGIA VIEIRA LTDA;4;3;2611606;1;-8,15692;-34,91245
2019;1675;FACULDADE METROPOLITANA DA GRANDE RECIFE;UNESJ;1100;UNIAO DAS ESCOLAS SUPERIORES DE JABOATAO-UNESJ;5;3;2607901;0;-8,16989;-34,9203
2019;19465;Faculdade Metropolitana de Petrolina;FAM;16235;SOEPE SOCIEDADE DE EDUCACAO DE PETROLINA LTDA - EPP;4;3;2611101;0;-9,39123;-40,51127
2019;19197;FACULDADE NIP DE CIÊNCIAS APLICADAS;FANIP;16188;SOCIEDADE FANIP DE EMPREENDIMENTOS EDUCACIONAIS;5;3;2611606;1;-8,05282;-34,88075
2019;4700;FACULDADE NOVA ROMA;FNR;2994;CENTRO BRASILEIRO DE PROFISSIONALIZACAO EMPRESARIAL LTDA;4;3;2611606;1;-8,05842;-34,90211
2019;20975;FACULDADE NOVO HORIZONTE;FNH;16517;INESP- INSTITUTO NACIONAL DE ENSINO, SOCIEDADE E PESQUISA;5;3;2616407;0;-8,11762;-35,29718
2019;3615;FACULDADE PERNAMBUCANA DE SAÚDE;FPS;2291;ASSOCIACAO EDUCACIONAL DE CIENCIAS DA SAUDE - AECISA;5;3;2611606;1;-8,12752;-34,91504
2019;21691;Faculdade Pitágoras Belo Jardim;;14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;4;3;2601706;0;-8,33437;-36,42269
2019;19791;Faculdade Pitágoras de Jaboatão dos Guararapes;;14514;EDITORA E DISTRIBUIDORA EDUCACIONAL S/A;4;3;2607901;0;-8,20273;-34,91922
2019;1454;FACULDADE SALESIANA DO NORDESTE;FASNE;968;INSTITUTO SALESIANO SAGRADO CORACAO;5;3;2611606;1;-8,0607;-34,89294
2019;3585;FACULDADE SANTA CRUZ;FACRUZ;2271;CESAC CENTRO DE ENSINO SUPERIOR SANTA CRUZ LTDA - EPP;4;3;2612505;0;-7,94578;-36,2095
2019;1384;FACULDADE SANTA HELENA;FSH;917;ASSOCIACAO SECULO XXI DE EDUCACAO CIENCIA E CULTURA;5;3;2611606;1;-8,05203;-34,91692
2019;19607;FACULDADE SANTISSIMA TRINDADE;FAST;16289;CENTRO DE ENSINO SUPERIOR SANTISSIMA TRINDADE LIMITADA - ME;4;3;2609501;0;-7,74039;-35,22304
2019;3996;FACULDADE SENAC PERNAMBUCO;SENACPE;2517;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC;5;3;2611606;1;-8,05232;-34,88529
2019;20106;FACULDADE STBNB;;16337;SEMINARIO TEOLOGICO BATISTA DO NORTE DO BRASIL;5;3;2611606;1;-8,0538;-34,89395
2019;19565;Faculdade Tecnológica de Pernambuco;FATEPE;16264;FATEPE - FACULDADE TECNOLOGICA DE PERNAMBUCO LTDA;4;3;2609600;0;-8,05856;-34,89278
2019;22514;FACULDADE TIRADENTES DE JABOATÃO DOS GUARARAPES;;274;SOCIEDADE DE EDUCACAO TIRADENTES LTDA;4;3;2607901;0;-8,16809;-34,92099
2019;10588;FACULDADE UNINABUCO SÃO LOURENÇO DA MATA;;2874;ASSOCIACAO DE ENSINO SUPERIOR ANGLO LIDER - AESAL;5;3;2613701;0;-7,99346;-35,0409
2019;18211;FACULDADE UNINASSAU CABO;;1847;SER EDUCACIONAL S.A.;4;3;2602902;0;-8,28944;-35,04413
2019;14717;FACULDADE UNINASSAU CARUARU;;1847;SER EDUCACIONAL S.A.;4;3;2604106;0;-8,30238;-35,99108
2019;18653;Faculdade Uninassau Garanhuns;Nassau Garanhuns;1847;SER EDUCACIONAL S.A.;4;3;2606002;0;-8,88703;-36,48158
2019;18075;FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES;UNINASSAU;1847;SER EDUCACIONAL S.A.;4;3;2607901;0;-8,17847;-34,9199
2019;4742;Faculdade Uninassau Olinda - Nassau Olinda;UNINASSAU;1847;SER EDUCACIONAL S.A.;5;3;2609600;0;-7,9928;-34,83968
2019;18023;FACULDADE UNINASSAU PETROLINA;UNINASSAU;1847;SER EDUCACIONAL S.A.;4;3;2611101;0;-9,39633;-40,51261
2019;22075;FACULDADE VALE DO PAJEU;FVP;16816;FACULDADE VALE DO PAJEU LTDA - EPP;4;3;2613602;0;-7,45577;-37,271
2019;4420;FACULDADES INTEGRADAS BARROS MELO;FIBAM;276;AESO-ENSINO SUPERIOR DE OLINDA LTDA;4;3;2609600;0;-8,00522;-34,87468
2019;701;FACULDADES INTEGRADAS DE GARANHUNS;FACIGA;466;AUTARQUIA DO ENSINO SUPERIOR DE GARANHUNS AESGA;7;3;2606002;0;-8,87992;-36,48563
2019;405;FOCCA - FACULDADE DE OLINDA;FOCCA;280;ASSOCIACAO OLINDENSE DOM VITAL DE ENSINO SUPERIOR;5;3;2609600;0;-8,01601;-34,84929
2019;3984;FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;UNIVASF;14107;FUNDACAO UNIVERSIDADE FEDERAL DO VALE DO SAO FRANCISCO;1;1;2611101;0;-9,39227;-40,49638
2019;2566;INSTITUTO DE ENSINO SUPERIOR DE OLINDA;IESO;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2609600;0;-8,01918;-34,8505
2019;1992;INSTITUTO DE ENSINO SUPERIOR DE PIEDADE;IESP;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2607901;0;-8,17829;-34,92
2019;1809;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;IFPE;16120;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO;1;4;2611606;1;-8,05927;-34,95054
2019;1809;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO - ABREU E LIMA;IFPE-ABREU E LIMA;16120;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO;1;4;2600054;1;-7,91265;-34,89776
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Petrolina;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2611101;0;-9,39806;-40,49566
2019;1708;INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR;IPESU;1125;APESU ENSINO SUPERIOR DE PERNAMBUCO S/S LTDA.;4;3;2611606;1;-8,07924;-34,90816
2019;3584;INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA CRUZ;ISED;2271;CESAC CENTRO DE ENSINO SUPERIOR SANTA CRUZ LTDA - EPP;4;3;2612505;0;-7,94592;-36,20943
2019;18896;Soberana Faculdade de Saúde de Petrolina;SOBERANA;16148;SOBERANA FACULDADE DE SAUDE DE PETROLINA LTDA - EPP;4;3;2611101;0;-9,3902;-40,52081
2019;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;11;CENTRO DE EDUCACAO TECNICA E CULTURAL;5;1;2611606;1;-8,05471;-34,88772
2019;409;UNIVERSIDADE DE PERNAMBUCO;UPE;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2611606;1;-8,04382;-34,88605
2019;580;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;15538;UNIVERSIDADE FEDERAL DE PERNAMBUCO;1;1;2611606;1;-8,05155;-34,95068
2019;580;UNIVERSIDADE FEDERAL DE PERNAMBUCO - CAA;UFPE-CAA;15538;UNIVERSIDADE FEDERAL DE PERNAMBUCO;1;1;2604106;0;-8,22561;-35,98151
2019;587;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;UFRPE;15599;UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO;1;1;2611606;1;-8,01721;-34,94926
2019;580;UNIVERSIDADE FEDERAL DE PERNAMBUCO - CAV;UFPE-CAV;15538;UNIVERSIDADE FEDERAL DE PERNAMBUCO;1;1;2616407;0;-8,11647;-35,29872
2019;409;UNIVERSIDADE DE PERNAMBUCO - CARUARU;UPE-CARUARU;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2604106;0;-8,23898;-35,98174
2019;409;UNIVERSIDADE DE PERNAMBUCO - ARCOVERDE;UPE-ARCOVERDE;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2601201;0;-8,40364;-37,06223
2019;409;UNIVERSIDADE DE PERNAMBUCO - CAMARAGIBE;UPE-CAMARAGIBE;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2603454;0;-7,99985;-34,97033
2019;409;UNIVERSIDADE DE PERNAMBUCO - GARANHUNS;UPE-GARANHUNS;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2606002;0;-8,88403;-36,49643
2019;409;UNIVERSIDADE DE PERNAMBUCO - MATA NORTE;UPE-MATA NORTE;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2609501;0;-7,7469;-35,22263
2019;409;UNIVERSIDADE DE PERNAMBUCO - MATA SUL;UPE-MATA SUL;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2610004;0;-8,67593;-35,57722
2019;409;UNIVERSIDADE DE PERNAMBUCO - SALGUEIRO;UPE-SALGUEIRO;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2612208;0;-8,05747;-39,10714
2019;409;UNIVERSIDADE DE PERNAMBUCO - PETROLINA;UPE-PETROLINA;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2611101;0;-9,39725;-40,47915
2019;409;UNIVERSIDADE DE PERNAMBUCO - SERRA TALHADA;UPE-SERRA TALHADA;283;FUNDACAO UNIVERSIDADE DE PERNAMBUCO;2;1;2613909;0;-7,95541;-38,29397
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Serra Talhada;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2613909;0;-7,98377;-38,2549
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Petrolina (Rural);IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2611101;0;-9,33178;-40,68642
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Floresta;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2605707;0;-8,59651;-38,5741
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Salgueiro;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2612208;0;-8,05756;-39,09525
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Ouricuri;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2609907;0;-7,88528;-40,09962
2019;3161;Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano - Santa Maria;IF Sertão;16656;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO;1;4;2612604;0;-8,77103;-39,88203
