org_academica;idade;sexo;turno;nota;QE_I02;QE_I04;QE_I05;QE_I08;QE_I09;QE_I15;QE_I17;QE_I21
Centro Universitário;25;F;Integral;17,3;A;E;B;E;C;A;B;A
Centro Universitário;27;F;Integral;52,6;A;D;E;B;C;A;A;A
Centro Universitário;24;M;Integral;33,5;A;F;F;E;D;A;B;A
Centro Universitário;26;M;Integral;23,6;A;F;F;E;D;A;B;A
Centro Universitário;29;F;Integral;34,8;C;B;D;B;E;D;A;B
Centro Universitário;32;M;Integral;45,5;A;F;F;E;C;A;B;A
Centro Universitário;24;F;Integral;27,2;D;A;F;E;B;A;B;A
Centro Universitário;39;M;Integral;39;A;A;B;D;E;A;A;B
Centro Universitário;25;M;Integral;53,6;A;E;E;D;C;A;B;A
Centro Universitário;26;F;Integral;41,9;A;C;D;B;D;A;A;A
Centro Universitário;44;M;Integral;42,7;D;D;C;E;D;A;D;A
Centro Universitário;31;F;Integral;29,9;F;D;E;C;F;A;B;A
Centro Universitário;38;M;Integral;36,3;A;D;D;C;C;A;B;A
Centro Universitário;46;M;Integral;49;D;B;D;E;F;A;A;B
Centro Universitário;25;M;Integral;62,4;A;D;D;E;C;A;B;A
Centro Universitário;28;M;Integral;53,2;A;E;E;D;B;A;B;A
Centro Universitário;29;M;Integral;38,2;D;D;D;E;D;A;B;A
Centro Universitário;28;M;Integral;64,8;A;E;D;A;B;A;B;A
Centro Universitário;24;F;Integral;39,7;A;B;C;A;B;A;B;A
Centro Universitário;27;F;Integral;31,6;D;D;D;B;C;D;B;B
Centro Universitário;24;F;Integral;28,2;A;D;D;E;C;A;B;A
Centro Universitário;29;M;Integral;33,6;D;C;C;B;E;D;A;A
Centro Universitário;24;F;Integral;27,3;D;D;D;D;E;A;A;B
Centro Universitário;22;F;Integral;51,6;B;D;D;B;C;A;B;B
Centro Universitário;23;F;Integral;45,6;D;E;B;A;C;A;B;A
Centro Universitário;43;M;Integral;35,5;D;A;C;D;F;A;A;A
Centro Universitário;28;F;Integral;25,6;D;E;D;A;B;A;E;A
Centro Universitário;29;M;Integral;64,5;B;D;F;F;F;D;A;A
Centro Universitário;22;F;Integral;57,3;D;D;E;B;C;A;B;A
Centro Universitário;25;M;Integral;42,9;A;D;F;G;E;A;B;A
Centro Universitário;29;F;Integral;36,4;D;C;C;C;C;A;B;B
Centro Universitário;25;F;Integral;47,6;A;E;D;E;E;A;B;A
Centro Universitário;28;F;Integral;43,5;A;F;F;F;C;A;B;A
Centro Universitário;26;M;Integral;44,3;D;F;F;C;F;A;B;A
Centro Universitário;27;F;Integral;25,7;C;D;D;C;D;A;B;A
Centro Universitário;28;F;Integral;29,5;A;B;B;E;E;A;A;B
Centro Universitário;22;M;Integral;41,2;B;E;E;E;C;A;B;A
Centro Universitário;34;M;Integral;42,3;D;B;B;D;E;D;A;B
Centro Universitário;24;M;Integral;41,8;D;F;F;C;A;A;B;A
Centro Universitário;25;M;Integral;18,6;B;D;E;F;E;A;B;A
Centro Universitário;29;M;Integral;50,6;A;E;F;C;C;A;B;A
Centro Universitário;25;M;Integral;42,1;A;F;F;F;C;A;B;A
Centro Universitário;32;M;Integral;22,4;A;D;D;F;E;A;B;A
Centro Universitário;21;F;Integral;68,7;A;A;D;C;B;D;A;B
Centro Universitário;27;M;Integral;66,7;A;E;E;F;C;A;B;A
Centro Universitário;25;F;Integral;29,8;D;D;D;C;B;A;E;A
Centro Universitário;33;M;Integral;24,9;D;E;D;C;D;A;A;A
Centro Universitário;37;M;Integral;16,7;B;C;D;C;E;D;D;A
Centro Universitário;26;F;Integral;30,1;A;A;B;B;C;A;A;B
Centro Universitário;23;F;Integral;42,9;A;B;E;F;B;A;B;A
Centro Universitário;28;M;Integral;63,2;A;E;E;F;C;A;B;A
Centro Universitário;30;M;Integral;72;A;F;E;F;B;A;B;A
Centro Universitário;38;M;Integral;34,4;D;E;E;F;E;A;B;A
Centro Universitário;48;M;Integral;36,7;D;C;C;A;A;D;A;A
Centro Universitário;22;M;Integral;50,4;B;C;D;B;E;A;A;B
Centro Universitário;30;F;Integral;50,7;A;D;F;E;D;A;B;A
Centro Universitário;29;M;Integral;45,6;A;D;D;D;C;A;B;A
Centro Universitário;29;M;Integral;24,2;D;F;F;E;C;A;B;A
Centro Universitário;24;M;Integral;57,2;A;D;E;C;D;A;B;A
Centro Universitário;22;M;Integral;49,5;D;D;D;B;C;E;A;B
Centro Universitário;39;M;Integral;41,2;B;D;D;C;F;A;A;A
Centro Universitário;26;M;Integral;34,8;D;D;D;C;E;D;A;A
Centro Universitário;49;M;Integral;41,4;D;D;B;D;E;A;B;A
Centro Universitário;27;M;Integral;48,7;D;D;D;B;D;A;E;A
Centro Universitário;24;M;Integral;42,8;D;E;E;C;C;A;B;A
Centro Universitário;46;M;Integral;37,5;D;B;B;C;D;A;A;A
Centro Universitário;30;F;Integral;42,6;D;E;D;C;C;A;A;A
Centro Universitário;32;M;Integral;47,8;A;D;C;D;C;A;B;B
Centro Universitário;25;M;Integral;34,2;B;C;D;C;C;A;B;B
Centro Universitário;25;F;Integral;35,7;A;D;D;B;F;C;B;B
Centro Universitário;25;M;Integral;25,9;A;D;D;C;B;A;B;A
Centro Universitário;23;M;Integral;70,9;A;F;E;E;C;A;B;A
Centro Universitário;27;M;Integral;50,3;A;E;E;F;B;A;B;A
Centro Universitário;27;F;Integral;55,8;D;C;C;F;D;D;A;A
Centro Universitário;28;M;Integral;39;D;F;D;E;B;A;B;A
Centro Universitário;25;F;Integral;37,4;D;D;D;B;B;A;B;B
Centro Universitário;23;M;Integral;28,3;D;D;D;E;C;A;A;B
Centro Universitário;29;F;Integral;47,7;A;D;D;E;B;A;A;A
Centro Universitário;26;F;Integral;43,2;C;D;D;B;C;E;A;A
Centro Universitário;31;F;Integral;38,4;B;F;C;B;B;A;A;A
Centro Universitário;24;M;Integral;57,7;A;E;D;B;C;A;B;A
Centro Universitário;39;F;Integral;38,6;A;D;D;C;E;A;B;B
Centro Universitário;39;M;Integral;41,1;F;F;C;B;E;C;A;A
Centro Universitário;32;F;Integral;38,8;F;F;D;F;C;A;D;A
Centro Universitário;25;M;Integral;35,8;D;F;D;C;C;B;A;A
Centro Universitário;28;F;Integral;44;A;D;D;F;C;A;B;A
Centro Universitário;25;F;Integral;47,4;D;E;E;D;C;A;B;A
Centro Universitário;35;M;Integral;52,7;A;D;F;F;D;A;B;A
Centro Universitário;33;M;Integral;31,4;D;E;D;F;B;A;B;A
Centro Universitário;28;M;Integral;34,2;D;D;E;D;D;A;B;A
Centro Universitário;24;F;Integral;44,4;A;E;E;C;C;A;B;A
Centro Universitário;26;M;Integral;26,8;A;D;E;D;E;A;B;A
Centro Universitário;24;F;Integral;37,3;D;E;E;E;C;A;B;A
Centro Universitário;25;M;Integral;48,8;A;D;E;C;B;A;B;A
Centro Universitário;26;M;Integral;53,9;D;B;D;B;C;A;B;B
Centro Universitário;27;F;Integral;38,5;D;D;D;A;C;D;A;A
Centro Universitário;25;F;Integral;28,2;D;D;D;C;C;A;E;A
Centro Universitário;32;M;Integral;64,9;A;F;E;E;C;A;B;A
Centro Universitário;33;M;Integral;21,5;B;A;B;B;D;D;A;B
Centro Universitário;29;M;Integral;47,8;A;D;E;F;C;A;B;A
Centro Universitário;23;F;Integral;29,7;A;E;C;E;D;A;E;A
Centro Universitário;25;F;Integral;34,9;D;B;F;A;A;A;E;A
Centro Universitário;25;M;Integral;30,8;B;D;D;C;C;A;B;A
Centro Universitário;22;M;Integral;47,7;A;E;B;A;C;D;B;B
Centro Universitário;25;F;Integral;37,5;A;D;F;F;D;A;B;A
Centro Universitário;35;M;Integral;21,3;D;B;E;E;E;A;A;A
Centro Universitário;30;M;Integral;49,3;B;D;F;C;D;D;A;A
Centro Universitário;27;F;Integral;33,5;D;C;D;B;E;C;A;A
Centro Universitário;30;F;Integral;49,4;D;D;B;B;E;A;B;B
Centro Universitário;32;M;Integral;24,3;A;D;D;E;D;A;B;A
Centro Universitário;25;M;Integral;31,1;A;E;E;C;C;A;B;A
Centro Universitário;28;M;Integral;23,6;D;E;E;A;F;C;B;A
Centro Universitário;23;F;Integral;24,8;A;C;E;B;D;A;B;A
Centro Universitário;37;M;Integral;36,7;D;E;E;D;E;A;A;B
Centro Universitário;27;M;Integral;29,7;D;C;B;D;C;A;A;A
Centro Universitário;21;M;Integral;44,9;A;B;F;A;A;A;A;A
Centro Universitário;34;F;Integral;13,6;A;D;D;B;D;A;B;A
Centro Universitário;22;F;Integral;46,3;A;D;F;D;E;A;B;A
Centro Universitário;36;M;Integral;34;D;B;B;C;F;A;A;A
Centro Universitário;23;F;Integral;37,2;A;B;E;B;C;A;B;A
Centro Universitário;27;F;Integral;31,1;D;C;C;B;B;A;B;A
Centro Universitário;27;M;Integral;61,8;D;D;F;E;B;D;A;A
Centro Universitário;29;F;Integral;42;D;E;D;A;B;A;B;A
Centro Universitário;28;M;Integral;50,6;A;F;E;F;C;A;B;A
Centro Universitário;25;F;Integral;34,6;D;D;D;B;B;A;B;A
Centro Universitário;28;F;Integral;43,4;A;E;E;C;B;A;A;A
Centro Universitário;25;M;Integral;45,6;A;E;E;G;D;A;B;A
Centro Universitário;22;F;Integral;47;F;D;C;D;B;A;B;A
Centro Universitário;27;M;Integral;41,1;A;E;E;E;E;A;B;A
Centro Universitário;25;M;Integral;38,1;A;E;F;F;B;A;B;A
Centro Universitário;25;M;Integral;46;A;D;D;E;D;A;B;A
Centro Universitário;26;M;Integral;37,9;D;D;D;C;C;A;B;A
Centro Universitário;23;F;Integral;41,5;A;D;F;E;E;D;B;A
Centro Universitário;25;F;Integral;66,3;A;D;F;F;D;A;B;A
Centro Universitário;22;F;Integral;26;D;C;D;B;A;D;A;A
Centro Universitário;46;M;Integral;42,8;A;B;A;D;F;A;A;B
Centro Universitário;23;F;Integral;29,2;F;F;E;G;C;A;B;A
Centro Universitário;26;F;Integral;27,5;B;D;F;B;B;E;A;A
Centro Universitário;44;M;Integral;61,4;C;E;E;C;F;D;A;A
Universidade;26;M;Integral;12;E;E;E;F;D;A;B;A
Universidade;22;M;Integral;59,6;A;E;E;G;C;A;B;A
Universidade;24;F;Integral;65,1;A;E;F;F;C;A;B;A
Universidade;23;M;Integral;57,1;D;E;E;G;C;A;B;A
Universidade;26;M;Integral;67,7;A;D;E;F;B;A;B;A
Universidade;23;F;Integral;85,3;A;E;E;F;C;A;B;A
Universidade;24;F;Integral;53,4;F;F;F;G;B;A;F;A
Universidade;24;F;Integral;72,8;D;E;D;B;F;A;B;A
Universidade;24;F;Integral;67,5;A;E;F;F;C;A;B;A
Universidade;26;M;Integral;62,9;B;D;C;B;E;A;A;B
Universidade;21;F;Integral;71,1;B;C;D;C;C;E;A;B
Universidade;22;M;Integral;76,1;A;E;E;F;C;A;B;A
Universidade;26;M;Integral;73,5;A;E;D;D;B;A;B;A
Universidade;26;M;Integral;59,4;A;E;E;F;C;A;B;A
Universidade;23;F;Integral;50,6;A;D;F;F;B;A;B;A
Universidade;23;F;Integral;59,4;D;D;D;B;E;A;B;A
Universidade;23;F;Integral;57;A;E;E;E;C;A;B;A
Universidade;23;M;Integral;63,4;A;F;F;G;C;A;B;A
Universidade;22;M;Integral;71,6;A;F;F;F;C;A;B;A
Universidade;26;M;Integral;75,4;D;D;E;E;D;A;B;A
Universidade;23;F;Integral;50,3;A;E;F;E;C;A;B;A
Universidade;24;M;Integral;61,9;C;F;D;G;C;A;B;A
Universidade;24;M;Integral;71,4;D;E;F;C;B;D;A;A
Universidade;23;M;Integral;67,2;A;F;F;F;C;A;B;A
Universidade;25;M;Integral;49;A;D;D;D;B;D;A;A
Universidade;26;M;Integral;53,8;B;C;D;D;B;A;E;B
Universidade;22;F;Integral;32,9;A;E;E;F;B;A;B;A
Universidade;26;F;Integral;61,8;D;D;D;C;C;A;B;A
Universidade;23;F;Integral;44,9;A;D;E;G;C;A;F;A
Universidade;23;F;Integral;57,2;A;D;D;E;B;D;A;A
Universidade;24;F;Integral;61,5;A;E;F;F;D;A;B;A
Universidade;23;M;Integral;74;D;F;E;E;B;A;B;A
Universidade;23;M;Integral;71,8;F;D;E;C;B;E;A;A
Universidade;24;M;Integral;55,9;A;E;E;F;C;A;B;A
Universidade;24;M;Integral;67;D;D;D;A;A;E;A;B
Universidade;23;F;Integral;43,2;A;F;E;F;B;D;A;A
Universidade;24;M;Integral;51,8;D;F;D;D;C;A;B;A
Universidade;23;F;Integral;72,9;A;E;F;F;C;A;B;A
Universidade;24;M;Integral;52,7;A;F;E;D;C;A;B;A
Universidade;22;F;Integral;67,5;A;D;D;B;B;D;A;B
Universidade;22;M;Integral;39,4;D;E;D;F;D;A;B;A
Universidade;28;M;Integral;63,9;F;E;E;B;C;A;B;A
Universidade;25;F;Integral;18;D;D;C;C;C;D;A;B
Universidade;22;F;Integral;61,5;D;F;D;F;B;A;B;A
Universidade;26;M;Integral;35,1;A;D;D;B;B;A;A;A
Universidade;22;M;Integral;68,1;A;F;E;G;C;A;B;A
Universidade;22;M;Integral;68,4;A;D;D;B;B;D;D;A
Universidade;23;F;Integral;64,6;A;F;F;G;C;A;B;A
Universidade;25;M;Integral;27,3;A;D;D;A;B;A;B;B
Universidade;26;F;Integral;70,5;D;E;F;E;C;A;B;A
Universidade;29;F;Noturno;53;E;B;D;E;E;A;E;A
Universidade;28;M;Noturno;40,2;A;D;D;C;E;A;E;B
Universidade;30;M;Noturno;39,9;D;A;C;C;E;A;A;A
Universidade;46;M;Noturno;27,3;A;D;E;D;E;A;A;A
Universidade;28;F;Noturno;36,1;A;B;D;A;B;A;A;A
Universidade;27;F;Noturno;54,6;A;D;E;B;C;A;B;A
Universidade;32;M;Noturno;27,7;D;B;B;B;C;C;B;B
Universidade;26;F;Noturno;55,2;D;D;D;A;B;A;A;B
Universidade;27;F;Noturno;37,8;D;D;D;A;C;A;A;B
Universidade;22;M;Noturno;50,1;A;C;F;B;B;A;B;A
Universidade;38;M;Noturno;49;A;B;B;E;F;A;A;B
Universidade;34;M;Noturno;21,4;A;C;B;A;C;D;A;B
Universidade;42;M;Noturno;43;A;D;D;C;B;A;B;A
Universidade;38;M;Noturno;34,2;A;D;D;B;C;A;B;A
Universidade;28;F;Noturno;35,3;D;D;D;C;B;A;A;A
Universidade;40;M;Noturno;52,8;B;C;A;C;F;A;A;B
Universidade;31;M;Noturno;33,2;D;E;D;B;B;A;D;A
Universidade;26;M;Noturno;47,9;A;D;C;C;C;A;A;B
Universidade;34;M;Noturno;39,9;D;A;A;B;E;C;A;B
Universidade;26;F;Noturno;24,8;D;C;F;E;C;C;A;A
Universidade;27;F;Noturno;39,3;A;A;C;B;C;A;A;A
Universidade;28;M;Noturno;31;A;F;F;E;D;A;B;A
Universidade;35;M;Noturno;17,5;A;A;B;B;E;A;A;B
Universidade;28;M;Noturno;44,7;D;E;D;B;E;A;D;A
Universidade;28;F;Noturno;38,7;B;D;D;A;C;A;A;A
Universidade;37;M;Noturno;54,9;A;D;D;C;D;A;B;B
Universidade;28;F;Noturno;33,5;D;D;D;B;E;A;A;B
Universidade;33;M;Noturno;19,4;D;C;C;B;C;A;B;A
Universidade;26;F;Noturno;40,6;A;D;D;C;E;A;A;A
Universidade;30;M;Noturno;56,8;A;D;D;B;C;A;B;A
Universidade;30;M;Noturno;34,8;A;E;F;F;D;A;B;A
Universidade;25;M;Noturno;55,8;A;E;D;C;D;A;B;A
Universidade;42;M;Noturno;26,3;A;E;E;C;B;A;B;A
Universidade;22;M;Noturno;58,3;D;E;C;A;C;C;B;A
Universidade;29;M;Noturno;43,2;D;D;C;D;F;C;B;A
Universidade;32;F;Noturno;28,7;F;C;C;B;C;A;A;B
Universidade;24;F;Noturno;33,3;A;B;A;A;B;F;A;B
Universidade;23;F;Noturno;38,9;D;D;F;D;C;A;E;A
Universidade;29;F;Noturno;29,7;D;D;D;B;C;A;A;A
Universidade;31;M;Noturno;27,7;D;E;F;A;D;A;B;A
Universidade;42;M;Noturno;35;A;B;D;E;E;A;D;A
Universidade;29;M;Noturno;8,8;D;A;B;B;E;A;A;A
Universidade;37;M;Noturno;48,7;B;C;E;E;C;A;E;A
Universidade;37;M;Noturno;47,4;C;D;D;D;C;A;B;A
Universidade;30;M;Noturno;46,6;B;D;F;B;C;A;D;A
Universidade;33;M;Noturno;56,2;A;D;D;C;D;A;B;A
Universidade;44;M;Noturno;34,3;B;D;B;C;F;A;A;A
Universidade;26;M;Noturno;63,9;F;D;F;D;E;A;B;A
Universidade;43;M;Noturno;31,1;D;B;B;A;E;A;A;A
Centro Universitário;39;M;Integral;27,1;D;D;D;C;F;A;A;A
Centro Universitário;34;M;Integral;37;A;D;D;B;F;A;B;A
Centro Universitário;32;M;Integral;26,5;A;C;B;A;A;C;A;A
Centro Universitário;24;M;Integral;30,8;A;D;D;C;B;A;B;A
Centro Universitário;24;M;Integral;35,2;A;F;D;E;C;A;B;A
Centro Universitário;41;F;Integral;11,8;D;B;B;A;A;D;A;A
Centro Universitário;26;M;Integral;31,3;A;D;D;A;C;A;B;B
Centro Universitário;24;M;Integral;20,6;D;C;C;B;F;A;A;B
Centro Universitário;32;M;Integral;45,2;B;D;D;B;C;A;B;A
Centro Universitário;34;F;Integral;33,4;D;D;C;A;F;A;A;B
Centro Universitário;30;F;Integral;39,1;D;C;D;C;B;A;B;A
Centro Universitário;27;M;Integral;43,2;A;C;E;E;C;C;B;A
Centro Universitário;30;M;Integral;34,5;D;C;F;B;E;A;A;A
Centro Universitário;25;M;Integral;39,1;A;D;D;D;C;C;E;A
Centro Universitário;31;F;Integral;44,5;A;E;F;B;C;A;B;A
Centro Universitário;29;M;Integral;28,1;B;A;B;E;E;A;A;A
Centro Universitário;41;M;Integral;16,2;A;C;B;B;B;D;A;B
Centro Universitário;33;F;Integral;16,5;D;E;E;C;E;A;B;A
Centro Universitário;27;F;Integral;27,7;D;C;D;D;D;A;B;B
Centro Universitário;29;M;Integral;49,1;D;B;C;B;E;A;A;A
Centro Universitário;26;M;Integral;25,2;D;D;E;D;E;A;A;A
Centro Universitário;56;M;Integral;37,4;D;B;B;B;B;A;A;A
Centro Universitário;29;F;Integral;28,8;A;D;D;A;E;F;A;A
Centro Universitário;27;F;Integral;29,3;A;D;D;C;C;A;B;A
Centro Universitário;42;F;Integral;22,1;F;C;D;B;E;A;D;A
Centro Universitário;24;M;Integral;53,9;D;D;D;A;F;A;B;A
Centro Universitário;29;M;Integral;41,8;D;E;D;C;C;A;B;A
Centro Universitário;30;M;Integral;20,9;D;D;E;C;E;A;A;A
Centro Universitário;24;M;Integral;30,4;A;A;A;A;A;A;A;A
Centro Universitário;32;F;Integral;44,8;D;B;B;A;C;C;A;B
Centro Universitário;22;F;Integral;55,2;B;D;F;C;E;A;B;A
Centro Universitário;31;F;Integral;41,5;B;B;B;C;E;C;A;B
Centro Universitário;33;F;Integral;55,5;B;D;C;E;E;A;B;A
Centro Universitário;27;F;Integral;49,9;D;D;D;B;C;D;A;A
Centro Universitário;33;F;Integral;26;D;C;C;D;E;A;B;B
Centro Universitário;33;F;Integral;32,9;D;D;B;B;F;A;A;B
Centro Universitário;32;F;Integral;48;D;D;F;C;C;A;A;A
Centro Universitário;45;M;Integral;19,8;B;D;E;D;C;C;E;A
Centro Universitário;29;F;Integral;32,5;B;D;F;C;C;D;B;A
Centro Universitário;28;M;Integral;57,7;D;C;F;C;C;A;A;A
Centro Universitário;22;F;Integral;33,8;D;D;E;D;C;A;A;A
Centro Universitário;33;M;Integral;49,3;D;B;B;B;E;A;A;A
Centro Universitário;31;M;Integral;34,8;D;B;C;B;F;D;A;B
Centro Universitário;24;M;Integral;35,8;D;D;E;F;C;A;A;A
Centro Universitário;25;F;Integral;19,7;D;D;D;B;A;A;A;A
Centro Universitário;26;M;Integral;23,2;D;D;D;B;A;A;B;A
Centro Universitário;33;M;Integral;24,5;A;C;F;C;F;A;A;A
Centro Universitário;33;M;Integral;17,5;A;F;C;D;D;A;B;A
Centro Universitário;26;M;Integral;40,9;D;B;D;A;C;A;B;B
Centro Universitário;27;M;Integral;45,1;D;E;C;C;D;A;A;A
Centro Universitário;26;F;Integral;53,9;D;E;E;D;E;A;B;A
Centro Universitário;41;F;Integral;35,9;D;B;B;A;B;A;A;A
Centro Universitário;27;M;Integral;50,1;A;B;D;D;F;A;A;B
Centro Universitário;38;M;Integral;32,9;D;E;C;A;D;A;A;A
Centro Universitário;29;F;Integral;50,1;D;D;D;D;C;A;B;A
Centro Universitário;27;M;Integral;26,5;D;C;C;A;B;A;B;A
Centro Universitário;24;M;Integral;46,1;A;F;F;F;A;A;B;A
Centro Universitário;48;M;Integral;27,1;D;D;C;D;F;A;A;A
Centro Universitário;40;F;Integral;21,5;D;B;B;A;B;C;A;B
Centro Universitário;43;F;Integral;22,5;D;D;D;A;F;A;A;A
Centro Universitário;23;M;Integral;15,2;A;C;C;B;B;C;D;B
Centro Universitário;27;F;Integral;46,3;A;D;D;A;F;A;B;B
Centro Universitário;33;F;Integral;30,8;D;C;D;B;E;A;A;A
Centro Universitário;43;M;Integral;25,5;D;D;D;F;E;A;B;A
Centro Universitário;32;F;Integral;54,5;D;D;D;A;D;A;B;A
Centro Universitário;40;M;Integral;20,4;D;D;E;C;F;C;A;A
Centro Universitário;30;M;Integral;21,3;A;C;D;B;F;A;A;A
Centro Universitário;49;M;Integral;20,7;A;B;C;B;E;A;A;B
Centro Universitário;31;M;Integral;28,4;D;C;B;C;E;A;A;B
Centro Universitário;30;F;Integral;38,2;B;E;D;C;E;A;A;A
Centro Universitário;36;M;Integral;28;B;C;C;D;F;A;A;A
Centro Universitário;25;F;Integral;40,7;D;D;D;B;B;A;A;A
Centro Universitário;30;F;Integral;42,3;A;D;D;B;B;A;A;A
Centro Universitário;27;F;Integral;31,9;D;D;F;A;B;A;B;A
Centro Universitário;28;F;Integral;23,1;F;B;C;C;E;A;A;A
Centro Universitário;28;M;Integral;37,8;D;C;F;C;C;A;A;A
