org_academica;idade;sexo;turno;nota;QE_I02;QE_I04;QE_I05;QE_I08;QE_I09;QE_I15;QE_I17;QE_I21
Centro Universitário;44;M;Integral;31,3;D;B;B;B;F;F;D;A
Centro Universitário;33;M;Integral;17,1;D;D;D;E;F;A;A;A
Centro Universitário;28;F;Integral;25,7;D;D;D;A;E;A;A;A
Centro Universitário;30;M;Integral;34,6;A;D;D;C;E;A;B;B
Centro Universitário;27;M;Integral;25,8;B;D;C;B;C;A;A;A
Centro Universitário;23;M;Integral;29,2;B;E;E;B;A;A;B;A
Centro Universitário;35;F;Integral;26,3;D;B;B;B;F;A;A;B
Centro Universitário;33;M;Integral;43,9;D;A;B;D;F;A;A;B
Centro Universitário;42;M;Integral;35,9;D;A;B;B;F;A;A;B
Centro Universitário;28;F;Integral;23,1;D;B;E;B;E;A;A;A
Centro Universitário;37;M;Integral;35,2;B;E;C;B;F;A;B;A
Centro Universitário;28;F;Integral;25,3;B;D;D;A;F;A;B;B
Centro Universitário;40;M;Integral;29,8;A;C;C;C;F;A;A;A
Centro Universitário;33;M;Integral;14,1;A;D;D;C;C;A;B;A
Centro Universitário;25;M;Integral;66,8;D;D;E;E;B;A;B;A
Centro Universitário;25;M;Integral;41,3;D;E;D;B;F;A;A;A
Centro Universitário;35;M;Integral;34,8;D;C;C;B;C;D;A;A
Centro Universitário;25;F;Integral;35,7;D;D;E;C;C;A;A;A
Centro Universitário;38;M;Integral;25,9;D;B;C;A;E;A;B;B
Centro Universitário;30;F;Integral;51,9;A;E;D;C;B;A;A;A
Centro Universitário;28;F;Integral;36,3;A;D;D;A;B;A;D;B
Centro Universitário;30;M;Integral;34,2;D;D;D;F;C;A;B;B
Universidade;26;F;Integral;48,8;D;D;D;A;A;A;B;A
Universidade;23;F;Integral;46,2;A;C;F;D;C;A;B;A
Universidade;25;M;Integral;65,6;B;D;F;D;B;A;A;A
Universidade;25;F;Integral;51,9;A;C;E;D;C;A;B;A
Universidade;25;M;Integral;66,4;D;D;D;A;B;A;B;A
Universidade;26;F;Integral;43,5;D;B;F;A;C;D;A;A
Universidade;23;M;Integral;47,2;A;B;B;B;D;D;A;A
Universidade;26;M;Integral;61,7;A;E;E;E;C;A;B;A
Universidade;23;M;Integral;51,1;A;D;F;B;A;A;B;A
Universidade;24;F;Integral;57,2;B;D;D;B;A;E;B;A
Universidade;23;M;Integral;64;D;D;D;B;F;A;B;A
Universidade;28;F;Integral;52,1;D;F;F;F;C;A;B;A
Universidade;24;M;Integral;40,6;A;C;E;A;A;A;A;A
Universidade;28;M;Integral;55,6;B;F;C;A;B;A;B;A
Universidade;25;M;Integral;59;A;D;D;A;A;A;A;A
Universidade;25;M;Integral;61,3;A;D;D;A;A;A;A;A
Universidade;26;F;Integral;51;A;B;D;A;B;A;B;B
Universidade;23;F;Integral;48,2;E;C;D;A;A;C;A;A
Universidade;26;M;Integral;57,5;B;B;F;B;B;D;A;A
Universidade;25;F;Integral;67,1;D;B;B;B;A;E;A;B
Universidade;30;M;Integral;62,1;A;F;D;A;B;A;B;A
Universidade;24;F;Integral;44,9;A;E;E;D;C;A;B;A
Universidade;25;M;Integral;52,4;D;B;D;B;C;E;A;B
Universidade;26;M;Integral;50;D;E;F;E;D;A;B;A
Universidade;23;M;Integral;64,9;A;F;E;D;C;A;B;A
Universidade;25;M;Integral;54,2;A;B;F;B;F;A;B;A
Universidade;23;M;Integral;64,2;D;D;C;D;C;E;A;A
Universidade;25;F;Integral;31,3;D;D;F;C;B;B;A;A
Universidade;25;M;Integral;44;A;B;D;C;C;A;B;A
Universidade;23;F;Integral;55,1;C;C;B;A;C;A;A;B
Universidade;25;F;Integral;39,3;D;D;D;B;C;A;B;A
Universidade;24;F;Integral;64,1;A;F;F;D;B;D;A;A
Universidade;30;F;Integral;49,3;A;E;F;E;C;F;B;A
Universidade;25;F;Integral;46,2;A;B;B;C;D;A;B;A
Universidade;24;F;Integral;41,3;A;D;D;C;A;A;B;A
Universidade;30;M;Integral;47,5;B;D;D;A;A;C;A;B
Universidade;26;M;Integral;48,5;D;D;D;D;C;A;B;B
Universidade;23;M;Integral;50,5;A;D;E;C;B;A;B;A
Universidade;23;M;Integral;67,5;A;D;F;B;C;A;B;A
Universidade;27;F;Integral;60;A;D;F;C;C;A;A;A
Universidade;26;F;Integral;30;D;C;F;C;C;A;B;A
Universidade;25;M;Integral;43,5;D;D;D;B;B;C;A;B
Universidade;26;F;Integral;44,1;A;D;D;C;B;A;B;A
Universidade;25;F;Integral;58,3;D;C;C;B;B;A;B;B
Universidade;24;F;Integral;61,1;D;E;F;B;C;E;A;A
Universidade;28;M;Integral;58,9;D;C;C;B;B;A;B;A
Universidade;44;F;Integral;43,4;D;B;B;A;B;A;A;B
Universidade;23;M;Integral;52,1;D;B;A;A;A;E;A;B
Universidade;26;F;Integral;47,1;D;B;C;A;A;E;A;B
Universidade;24;F;Integral;56,6;A;D;C;A;C;D;A;A
Universidade;27;F;Integral;58,7;D;E;D;B;B;D;A;A
Universidade;23;F;Integral;60,3;A;B;D;A;E;A;B;B
Universidade;29;F;Integral;21,4;D;A;B;A;B;A;A;B
Universidade;25;F;Integral;58,3;B;B;D;C;E;A;B;A
Universidade;22;M;Integral;60,7;A;B;E;A;C;A;A;A
Universidade;24;F;Integral;58,4;A;D;E;D;D;F;B;A
Universidade;25;M;Integral;47,8;A;D;F;B;C;A;B;A
Universidade;25;F;Integral;62,3;D;D;D;B;B;A;B;A
Universidade;26;F;Integral;35,8;A;E;F;C;C;A;A;A
Universidade;23;M;Integral;52,5;D;E;E;B;C;A;B;A
Universidade;24;M;Integral;60;A;E;E;E;E;A;B;A
Universidade;26;F;Integral;56,2;A;A;E;B;B;D;A;A
Universidade;26;F;Integral;57,7;D;D;E;C;D;A;A;A
Universidade;25;M;Integral;53,5;D;C;D;A;B;D;A;B
Universidade;27;M;Integral;53,1;D;C;F;B;B;A;B;A
Universidade;26;M;Integral;46,4;F;B;B;B;C;A;B;B
Universidade;24;F;Integral;46;A;B;D;B;C;A;B;A
Universidade;26;M;Integral;49,5;D;D;F;F;D;A;E;A
Universidade;29;M;Integral;35,2;A;C;D;B;B;D;A;A
Universidade;26;F;Integral;45,5;D;D;E;E;C;C;B;A
Universidade;25;M;Integral;43,7;D;C;E;B;D;D;A;A
Universidade;21;M;Integral;81,2;D;B;F;B;B;D;A;A
Universidade;27;M;Integral;31,2;D;D;C;B;B;C;A;B
Universidade;26;M;Integral;58,5;A;F;F;D;F;A;B;A
Universidade;26;M;Integral;52,1;D;D;D;A;E;D;A;A
Centro Universitário;32;F;Integral;26,9;B;C;C;C;E;E;A;A
Centro Universitário;23;M;Integral;48,9;A;D;F;F;C;A;B;A
Centro Universitário;24;M;Integral;41;A;D;D;C;B;A;B;A
Centro Universitário;23;M;Integral;42;D;E;D;E;C;A;A;A
Centro Universitário;23;F;Integral;27,7;D;C;E;B;A;C;A;A
Centro Universitário;23;F;Integral;28,8;D;D;D;B;C;A;A;A
Centro Universitário;22;M;Integral;32,8;D;C;B;A;B;A;B;A
Centro Universitário;24;F;Integral;31,2;D;D;D;B;A;A;A;B
Centro Universitário;27;F;Integral;41,5;B;B;B;C;E;A;A;B
Centro Universitário;30;M;Integral;39;A;D;B;C;A;C;B;A
Centro Universitário;33;F;Integral;29,7;B;B;B;A;A;A;A;A
Centro Universitário;25;F;Integral;47,6;A;E;E;E;C;A;B;A
Centro Universitário;26;F;Integral;55,3;A;D;E;C;D;C;A;A
Centro Universitário;28;F;Integral;63,2;B;D;D;C;F;E;A;A
Centro Universitário;22;M;Integral;32,7;D;D;E;A;C;D;A;A
Centro Universitário;23;M;Integral;21,1;A;D;F;C;D;A;B;A
Centro Universitário;28;F;Integral;45,2;B;D;D;B;F;A;A;A
Centro Universitário;32;M;Integral;15,7;B;B;B;B;D;A;A;B
Centro Universitário;22;M;Integral;35,1;D;C;F;E;B;A;B;A
Centro Universitário;37;M;Integral;42,5;A;E;F;E;F;C;B;A
Centro Universitário;33;M;Integral;29,1;B;D;C;B;E;A;A;B
Centro Universitário;25;F;Integral;41,3;B;B;B;A;B;A;B;A
Centro Universitário;27;M;Integral;30,9;B;D;D;B;C;A;B;A
Centro Universitário;30;F;Integral;39,8;B;A;D;B;C;C;B;A
Centro Universitário;22;M;Integral;29,4;D;B;D;A;B;A;A;B
Centro Universitário;38;F;Integral;24;A;E;F;C;E;A;B;A
Centro Universitário;25;F;Integral;35;A;E;D;D;C;A;B;A
Centro Universitário;23;F;Integral;39,5;D;B;D;B;B;D;A;B
Centro Universitário;33;M;Integral;23,8;B;D;C;C;E;C;A;B
Centro Universitário;23;F;Integral;41,8;B;B;B;B;B;A;B;B
Centro Universitário;27;F;Integral;49;B;E;E;C;C;A;B;A
Centro Universitário;30;M;Integral;62,4;A;F;E;E;C;A;B;A
Centro Universitário;25;M;Integral;47,9;D;D;E;C;E;A;B;A
Centro Universitário;26;M;Integral;46;A;D;F;F;C;A;B;A
Centro Universitário;23;F;Integral;31,4;A;D;F;C;A;A;D;A
Centro Universitário;44;M;Integral;35,6;D;B;B;D;D;A;A;B
Centro Universitário;28;F;Integral;26,7;A;D;E;E;E;A;B;A
Centro Universitário;41;F;Integral;18,5;B;B;B;D;A;A;A;A
Centro Universitário;23;F;Integral;34,8;D;C;C;A;A;A;A;B
Centro Universitário;25;M;Integral;39,7;F;D;D;B;C;E;A;A
Centro Universitário;30;F;Integral;26,6;D;D;C;B;B;A;A;A
Centro Universitário;29;F;Integral;40,6;A;D;D;E;C;A;A;A
Centro Universitário;23;M;Integral;25,5;D;D;D;A;A;D;A;B
Centro Universitário;26;M;Integral;35,6;D;B;E;C;B;A;A;A
Centro Universitário;30;M;Integral;22,9;A;F;F;G;B;A;B;A
Centro Universitário;38;F;Integral;26,6;D;B;B;B;D;A;A;A
Centro Universitário;22;F;Integral;34,3;A;C;F;B;A;A;A;A
Centro Universitário;24;F;Integral;30,7;D;D;D;B;C;A;B;A
Centro Universitário;23;M;Integral;24,8;D;D;D;B;C;A;A;B
Faculdade;31;M;Noturno;35,7;C;B;C;A;D;E;A;B
Faculdade;37;M;Noturno;19,6;A;D;C;C;E;A;A;A
Faculdade;32;M;Noturno;34,4;D;D;F;A;F;A;A;A
Faculdade;41;M;Noturno;28,6;B;C;C;C;B;A;A;A
Faculdade;39;M;Noturno;29,2;D;D;D;D;D;A;B;A
Faculdade;29;M;Noturno;23,5;D;D;C;A;B;A;A;B
Faculdade;30;F;Noturno;30,8;A;B;F;B;E;C;A;A
Faculdade;35;M;Noturno;24,9;D;B;C;B;A;A;D;B
Faculdade;27;M;Noturno;25,5;A;D;D;A;F;A;D;A
Faculdade;31;M;Noturno;28,4;D;D;D;A;B;D;A;A
Faculdade;25;M;Noturno;48,3;C;D;C;C;C;D;B;B
Faculdade;29;M;Noturno;20,2;A;D;B;C;C;A;D;B
Faculdade;38;M;Noturno;39,7;A;D;D;D;F;A;E;A
Faculdade;41;F;Noturno;28,9;D;C;C;A;B;A;A;B
Faculdade;25;F;Noturno;30,9;A;D;D;C;E;A;A;B
Faculdade;27;M;Noturno;26,5;B;C;C;A;A;A;A;B
Faculdade;47;F;Noturno;35,1;D;A;B;F;C;A;A;A
Faculdade;39;M;Noturno;38,5;D;D;D;A;C;A;B;A
Faculdade;37;M;Noturno;50,9;D;D;E;E;E;A;B;A
Faculdade;37;M;Noturno;38,9;A;D;D;E;F;A;B;A
Centro Universitário;23;F;Noturno;49,4;A;C;E;D;C;A;B;A
Centro Universitário;25;M;Noturno;33;A;D;D;D;F;A;B;A
Centro Universitário;22;F;Noturno;50,6;A;D;D;C;C;A;B;A
Centro Universitário;23;M;Noturno;56,7;D;D;D;C;C;A;B;A
Centro Universitário;23;F;Noturno;39,6;D;D;D;C;D;D;B;A
Centro Universitário;23;M;Noturno;53,4;A;B;E;F;C;A;B;A
Centro Universitário;23;M;Noturno;24,9;A;C;C;E;B;A;B;A
Centro Universitário;26;F;Noturno;51,1;D;B;D;B;B;A;E;A
Centro Universitário;27;M;Noturno;39,2;A;B;B;C;C;F;A;B
Centro Universitário;23;F;Noturno;35,7;D;D;D;B;A;A;B;B
Centro Universitário;23;F;Noturno;34,8;A;D;D;C;C;A;A;A
Centro Universitário;23;M;Noturno;46,8;A;E;E;C;B;A;B;A
Centro Universitário;22;F;Noturno;30,5;D;D;C;C;D;A;B;A
Centro Universitário;27;M;Noturno;45;A;B;F;D;E;A;A;A
Centro Universitário;23;M;Noturno;41,4;A;B;E;C;C;A;B;A
Centro Universitário;22;F;Integral;39,2;D;B;B;B;D;E;A;B
Centro Universitário;26;F;Integral;52,4;D;D;D;D;B;A;B;A
Centro Universitário;25;F;Integral;46,3;D;B;A;B;E;A;A;B
Centro Universitário;30;M;Integral;22,6;A;B;D;B;E;A;A;B
Centro Universitário;50;M;Integral;14,7;D;B;D;A;A;A;A;B
Centro Universitário;26;F;Integral;26;D;C;D;B;B;A;A;B
Centro Universitário;30;M;Integral;46,4;D;D;D;C;B;A;B;A
Centro Universitário;44;F;Integral;26;D;B;C;B;E;A;A;A
Centro Universitário;26;F;Integral;37;A;B;D;C;E;E;A;B
Centro Universitário;27;M;Integral;17,1;D;E;E;B;F;A;A;A
Centro Universitário;24;M;Integral;37,2;A;D;D;B;C;A;B;B
Centro Universitário;23;F;Integral;32,1;D;E;D;B;C;A;A;A
Centro Universitário;26;M;Integral;45;A;C;D;A;C;A;A;A
Centro Universitário;27;M;Integral;28,4;D;F;E;B;C;A;A;A
Centro Universitário;25;F;Integral;43,1;D;C;C;B;C;A;A;B
Centro Universitário;33;F;Integral;44,4;B;D;C;B;C;C;B;B
Centro Universitário;25;F;Integral;33,5;A;C;C;C;C;C;B;A
Centro Universitário;42;M;Integral;19,7;D;B;B;A;E;A;A;A
Centro Universitário;23;M;Integral;27,5;D;D;D;D;A;A;A;A
Centro Universitário;29;M;Integral;40;A;E;D;C;E;A;A;A
Centro Universitário;28;F;Integral;32,4;D;D;B;A;A;F;A;A
Centro Universitário;34;M;Integral;23,5;D;A;A;C;F;A;A;B
Centro Universitário;24;F;Integral;36,2;A;B;D;B;B;D;A;B
Centro Universitário;27;M;Integral;32,5;A;F;E;F;B;A;B;A
Centro Universitário;24;F;Integral;22,4;B;D;F;B;B;C;A;A
Centro Universitário;29;F;Integral;52,4;D;D;D;C;F;A;A;A
Centro Universitário;27;F;Integral;43,1;D;B;C;B;C;A;E;B
Centro Universitário;26;M;Integral;54;A;E;E;E;E;A;A;A
Centro Universitário;24;F;Integral;32,2;A;D;D;B;E;A;B;A
Centro Universitário;31;F;Integral;29,9;A;D;D;B;B;A;B;A
Centro Universitário;24;M;Integral;37,5;A;F;F;G;D;A;B;A
Centro Universitário;31;M;Integral;34,5;A;B;D;A;F;F;A;B
Centro Universitário;41;F;Integral;25,3;A;E;B;E;E;A;A;A
Centro Universitário;34;F;Integral;27,9;D;D;D;A;C;C;A;B
Centro Universitário;36;M;Integral;7,7;A;D;B;C;C;A;A;B
Centro Universitário;30;M;Integral;36,8;A;C;C;A;E;C;A;A
Centro Universitário;44;M;Integral;16,3;D;D;C;E;F;A;A;A
Centro Universitário;26;F;Integral;34,2;A;E;D;C;C;C;D;A
Centro Universitário;26;F;Integral;41,7;D;C;A;B;F;E;A;B
Centro Universitário;26;M;Integral;44,6;B;E;E;C;F;A;A;A
Centro Universitário;31;F;Integral;29,7;A;D;D;C;C;D;B;A
Centro Universitário;41;M;Integral;51;D;E;D;D;D;A;A;A
Centro Universitário;29;M;Integral;20,8;A;B;C;B;C;A;A;B
Centro Universitário;25;F;Integral;24,6;D;C;D;C;E;C;A;B
Centro Universitário;30;M;Integral;24,6;D;B;D;A;C;A;A;B
Centro Universitário;24;M;Integral;33,8;D;E;D;D;A;A;D;A
Centro Universitário;27;F;Integral;56,8;D;C;C;C;E;C;A;B
Centro Universitário;43;M;Integral;42,8;D;B;E;B;E;A;B;A
Centro Universitário;30;F;Integral;55,7;D;D;F;E;C;A;B;A
Centro Universitário;26;F;Integral;26,1;D;B;B;B;C;A;A;B
Centro Universitário;31;M;Integral;54,8;A;E;D;E;D;A;A;A
Centro Universitário;23;F;Integral;44,5;B;E;D;A;B;C;E;A
Centro Universitário;44;F;Integral;37,9;A;A;B;B;C;D;A;B
Centro Universitário;47;M;Integral;14,8;D;C;B;D;D;A;B;A
Centro Universitário;22;F;Integral;23,6;D;C;D;C;D;A;A;B
Centro Universitário;25;F;Integral;24,4;D;B;B;A;B;A;A;B
Centro Universitário;24;F;Integral;24,5;D;D;D;A;C;C;E;A
Centro Universitário;29;F;Integral;27,3;F;E;D;B;E;F;A;A
Centro Universitário;26;F;Integral;40,4;A;E;D;B;D;A;B;A
Centro Universitário;38;M;Integral;31,5;B;B;B;D;E;A;A;A
Centro Universitário;32;F;Integral;14,2;D;D;D;B;D;A;A;B
Centro Universitário;25;F;Integral;21,3;D;D;C;A;A;A;A;A
Centro Universitário;26;F;Integral;28;B;D;C;A;B;E;B;B
Centro Universitário;29;F;Integral;9,5;D;A;B;A;B;A;A;B
Faculdade;24;M;Integral;29,4;A;D;D;A;A;C;B;A
Faculdade;39;M;Integral;44,2;C;D;D;A;C;A;A;A
Faculdade;26;M;Integral;20,9;D;C;D;C;E;A;E;A
Faculdade;36;M;Integral;25,2;D;B;D;C;F;A;A;A
Faculdade;38;M;Integral;36,5;D;B;C;C;E;A;A;A
Faculdade;22;M;Integral;39,1;D;D;D;D;B;E;A;B
Faculdade;35;F;Integral;21,6;D;D;E;E;D;A;B;A
Faculdade;22;F;Integral;28,1;D;D;D;C;C;A;A;B
Faculdade;33;M;Integral;20,6;B;D;B;B;F;D;A;A
Faculdade;23;M;Integral;54,5;D;D;D;B;C;A;B;B
Faculdade;29;M;Integral;37,1;A;D;E;E;E;A;B;A
Faculdade;29;F;Integral;25,2;D;D;D;B;C;A;E;B
Faculdade;25;F;Integral;16;C;B;D;B;E;A;A;A
Faculdade;28;M;Integral;47,2;A;D;D;D;F;C;A;A
Faculdade;34;F;Integral;22,2;D;D;D;C;E;F;E;A
Faculdade;26;M;Integral;37,2;C;D;D;C;D;A;B;A
Faculdade;22;M;Integral;22,6;D;D;D;C;B;A;B;A
Centro Universitário;26;M;Integral;31,4;A;B;D;A;C;D;A;A
Centro Universitário;23;M;Integral;58;A;D;D;A;C;D;A;B
Centro Universitário;22;F;Integral;51,1;A;E;F;C;C;A;B;A
Centro Universitário;22;F;Integral;32,9;A;B;D;D;B;A;B;A
Centro Universitário;24;F;Integral;21,7;A;B;F;C;A;D;B;A
Centro Universitário;27;F;Integral;51,2;D;D;D;B;C;A;B;A
Centro Universitário;24;F;Integral;29,3;D;B;D;B;E;A;B;A
Centro Universitário;31;M;Integral;31,4;A;C;F;B;C;A;A;A
Centro Universitário;23;M;Integral;29;A;D;D;A;B;D;B;B
Centro Universitário;23;F;Integral;60;D;B;B;B;C;A;A;B
Centro Universitário;24;F;Integral;45;D;B;D;A;C;C;A;B
Centro Universitário;24;M;Integral;47,3;A;B;D;A;E;D;E;A
Centro Universitário;22;F;Integral;50,1;A;B;F;C;A;A;E;A
Centro Universitário;22;F;Integral;48,5;D;C;D;C;C;D;A;B
Centro Universitário;26;M;Integral;26,8;A;B;C;B;C;A;A;B
Centro Universitário;38;M;Integral;28,9;A;C;E;C;F;A;A;A
Centro Universitário;28;M;Integral;21;D;D;D;B;F;A;A;A
Centro Universitário;30;F;Integral;26,4;D;A;A;A;E;D;A;B
Centro Universitário;24;M;Integral;37,9;B;F;D;C;B;A;A;A
Centro Universitário;24;F;Integral;23,1;A;C;D;A;C;A;B;B
Centro Universitário;24;F;Integral;41,8;D;D;D;B;B;A;C;B
Centro Universitário;26;F;Integral;50,9;D;D;F;C;A;A;A;A
Centro Universitário;28;F;Integral;46,5;A;D;D;F;D;A;B;B
Centro Universitário;24;F;Integral;27,1;D;A;B;A;C;D;A;A
Centro Universitário;23;F;Integral;38,1;A;B;B;E;E;D;A;A
Centro Universitário;30;M;Integral;36,3;D;B;C;E;D;A;B;A
Centro Universitário;22;M;Integral;37,6;A;E;E;E;B;A;B;A
Centro Universitário;23;F;Integral;30,5;A;B;F;B;B;A;A;A
Centro Universitário;24;M;Integral;43,1;A;E;F;E;C;A;B;A
Centro Universitário;26;M;Integral;46,3;D;B;B;A;E;C;A;B
Centro Universitário;25;M;Integral;45,8;A;D;D;A;B;A;B;B
Centro Universitário;23;M;Integral;33,4;E;C;C;B;A;A;A;A
Centro Universitário;31;M;Integral;30,1;B;B;C;C;C;A;A;A
Centro Universitário;23;F;Integral;32,1;D;C;C;B;A;A;E;B
Centro Universitário;23;F;Integral;52,8;D;D;D;B;B;C;A;B
Centro Universitário;23;F;Integral;33,1;D;D;F;C;B;D;A;A
Centro Universitário;24;M;Integral;54,5;D;B;B;A;C;D;A;A
Centro Universitário;31;M;Integral;29,5;D;C;B;B;C;A;A;B
Centro Universitário;23;M;Integral;31,4;D;F;D;F;B;A;B;A
Centro Universitário;25;F;Integral;53,7;A;B;D;B;B;A;B;A
Centro Universitário;24;M;Integral;42,4;D;D;D;B;C;A;A;B
Centro Universitário;32;F;Integral;42,6;D;F;D;C;C;A;B;A
Centro Universitário;26;M;Integral;39,6;A;D;D;D;D;A;B;B
Centro Universitário;22;M;Integral;40,1;A;B;D;B;B;D;A;B
Faculdade;24;M;Integral;45,7;D;B;D;A;F;D;B;B
Faculdade;25;M;Integral;37,8;D;D;C;D;C;A;B;A
Faculdade;28;M;Integral;45,5;A;D;E;C;E;D;A;A
Faculdade;31;M;Integral;44,9;D;D;D;B;E;D;A;A
Faculdade;39;M;Integral;25,5;D;D;D;C;E;D;A;A
Faculdade;23;M;Integral;47,1;D;C;E;B;B;C;A;A
Faculdade;31;M;Integral;55,7;D;E;F;D;D;A;B;A
Faculdade;29;M;Integral;42,3;A;C;D;A;B;E;A;B
Faculdade;23;F;Integral;59,9;B;C;C;A;B;E;A;B
Faculdade;24;F;Integral;42,7;D;B;F;C;C;C;A;A
Centro Universitário;36;F;NA;52,6;B;D;D;E;D;A;B;A
Centro Universitário;36;M;NA;30,1;D;C;B;C;D;A;A;B
Centro Universitário;36;F;NA;22,5;A;A;C;C;C;A;B;A
Centro Universitário;31;F;NA;70,6;A;E;D;C;D;A;B;A
Centro Universitário;32;M;NA;45,4;D;C;C;B;B;A;A;A
Centro Universitário;34;M;NA;53,9;D;E;E;E;D;A;B;A
